Booking ID,Booking Date,Trip Start Date,Trip End Date,Lead Time,Aircraft_hash,Trip Type,Origin,Aircraft Type,Manufacturer,Size,Customer_hash,Price,Salesperson_hash,Flight Time,Flight Distance,Passengers,Itinerary,Starting ICAO,Ending ICAO,Customer Segment,Trip Class,Trip Category,Status
LOHIE,4/12/2021,3/25/2021,3/26/2021,-17.0,28f2af552451998ca6e15f95fdb4a1bb84db74092d5b9bd5a6e1affb0dc43809,Charter | 135,EMAIL,Falcon 2000EX,Dassault,Super Mid-Size,e8306ba4c92573061a7e9052f84594c23694e8fee0086ef5f35f9980311e29e5,36181.0,8f7827d07970ecd0b3e0d770c4d38fbc8f407b18c22b2d049fdbec5eb0b833bf,4.616666667,1616.0,9.0,KVNY/MMSD/KSDM/KVNY,KVNY,KVNY,,,,Booked
AWIYC1,10/8/2021,1/3/2022,1/3/2022,87.0,530da37ef03844782fd6f846f44a152a7d7807f18c7cd1f6e57379d3d2b98bbc,Charter | 135,EMAIL,Falcon 2000EX,Dassault,Super Mid-Size,29ffa3fc506f0515d45e8bdc3589aab02cbb474bf53a8c7576d578e4c6cca351,23724.0,8a3ce970f53de874df6ea68097443422fa78c04edab53c9f7824e2ed50700e9d,2.866666667,1120.0,4.0,KVNY/KTEX/KVNY,KVNY,KVNY,Key Account,Roundtrip,Domestic,Booked
EPUYK1,4/12/2021,3/27/2021,3/29/2021,-15.0,28f2af552451998ca6e15f95fdb4a1bb84db74092d5b9bd5a6e1affb0dc43809,Charter | 135,EMAIL,Falcon 2000EX,Dassault,Super Mid-Size,7bdbbd96c185626a376455b460ae33fe988a755e32bab46f8f0e96ffbd454eb5,62363.0,8f7827d07970ecd0b3e0d770c4d38fbc8f407b18c22b2d049fdbec5eb0b833bf,11.08333333,4434.0,7.0,KVNY/PHNL,KVNY,PHNL,,,,Booked
EGTOI,12/1/2021,1/14/2022,1/16/2022,44.0,530da37ef03844782fd6f846f44a152a7d7807f18c7cd1f6e57379d3d2b98bbc,Charter | 135,EMAIL,Falcon 2000EX,Dassault,Super Mid-Size,bcbbd9f3ad92826fb4e9e8219d597beec551fc16d410c8ca02907876c4ac8661,70396.0,8009e22925d6e90622a77c154794cf2dfc2f6f5c4b0f9daa461fb5e2347ad1c2,9.566666667,3950.0,2.0,KVNY/KJAX/KSRQ/KVNY,KVNY,KVNY,Existing Retail,Roundtrip,Domestic,Booked
KOANM1,11/1/2022,11/6/2022,11/8/2022,5.0,28f2af552451998ca6e15f95fdb4a1bb84db74092d5b9bd5a6e1affb0dc43809,Charter | 135,EMAIL,Falcon 2000EX,Dassault,Super Mid-Size,fa74d0f1d421857f3fd19602cb3e45c2d769f993eb4afc837686a78b887d4fde,88950.0,8009e22925d6e90622a77c154794cf2dfc2f6f5c4b0f9daa461fb5e2347ad1c2,11.11666667,4590.0,4.0,KVNY/MRLB/KVNY,KVNY,KVNY,Existing Retail,Roundtrip,International,Booked
IDXEB,12/7/2021,1/3/2022,1/5/2022,27.0,530da37ef03844782fd6f846f44a152a7d7807f18c7cd1f6e57379d3d2b98bbc,Charter | 135,EMAIL,Falcon 2000EX,Dassault,Super Mid-Size,998a9a46327dde16b0862126895d70e639ef611379f4c5fa7f2d53fdfa82ff03,23266.0,c92ce3c01e4352febbd906e365788edbbdec768e4928b7cf47091a952512e75a,3.3,1214.0,0.0,KVNY/KRIL/KVNY,KVNY,KVNY,Key Account,Roundtrip,Domestic,Booked
XEAKM,12/10/2021,2/3/2022,2/5/2022,55.0,28f2af552451998ca6e15f95fdb4a1bb84db74092d5b9bd5a6e1affb0dc43809,Charter | 135,EMAIL,Falcon 2000EX,Dassault,Super Mid-Size,5ea90be76c09ca533c3204cce7abf05ba3eff544a7860e6830e5e5e94483d67b,55112.0,c43237bab3363d2fdac6698a860029282220ba6b6a9a692bdc8aaff9ce81d944,10.6,4472.0,2.0,KVNY/PHOG/KSAN/KVNY,KVNY,KVNY,New Retail,Roundtrip,Domestic,Booked
EDEJO1,4/12/2021,4/18/2021,4/20/2021,6.0,e11560bd9837851c63fcccf4aeacb6b7df1d255ede574d051b531c2b42b1e0fb,Charter | 135,EMAIL,Falcon 2000EX,Dassault,Super Mid-Size,7bdbbd96c185626a376455b460ae33fe988a755e32bab46f8f0e96ffbd454eb5,62713.0,47cb1d67cdc07ff8e03deddfa90be6739ac863880f747cf11149f40c93b6babc,11.03333333,4434.0,3.0,KVNY/PHNL,KVNY,PHNL,,,,Booked
ALONS4,9/14/2022,9/16/2022,9/18/2022,2.0,28f2af552451998ca6e15f95fdb4a1bb84db74092d5b9bd5a6e1affb0dc43809,Charter | 135,EMAIL,Falcon 2000EX,Dassault,Super Mid-Size,6b8a67bf7f780c5783767e160ece981b8a924991abee4ec9eea43c26b3a8614f,52001.0,8c9637d84bc01e77334d1fb69fca188d34fc46ea46f811a85af6ce7563142cb4,5.316666667,2166.0,6.0,KVNY/KAUS/KVNY,KVNY,KVNY,Existing Retail,Roundtrip,Domestic,Booked
LUORW1,6/25/2021,7/5/2050,7/7/2050,10602.0,8ee4cc6d5f371dbec54773ed69e8749f709a112c89b6fa728eecd199db63e773,Charter | 135,EMAIL,Global 6000,Bombardier,Large,028305ea65acec2d365db21402c4878aad2c7b4491b614986c70ee006ab693c1,85410.09,8c9637d84bc01e77334d1fb69fca188d34fc46ea46f811a85af6ce7563142cb4,9.733333333,4274.0,13.0,KASE/KTEB/KLAX/KASE,KASE,KASE,Wholesale,One way trip,Domestic,Booked
WALOL,4/12/2021,11/2/2020,11/2/2020,-160.0,9268a88110923d2d8f5d0e46fced47166792db0e4d80df5180c579806db039b2,Charter | 135,EMAIL,Citation CJ3,Cessna,Light,a621dd7583b3a2f878d50de1ca60dca45f5514861515c58fcd123ad73a2b4070,22503.0,97889ba44345174cfa08d75ac8d0f21b042a64d732e6f0037c17a65ad1586ac2,4.866666667,1616.0,1.0,KVNY/MMSD/KVNY,KVNY,KVNY,,,,Booked
AFBIP,4/12/2021,11/30/2020,11/30/2020,-132.0,9268a88110923d2d8f5d0e46fced47166792db0e4d80df5180c579806db039b2,Charter | 135,EMAIL,Citation CJ3,Cessna,Light,e6c1f35ba00aa0fce43bbace4166a83839de50668b91bd62278384066b614233,10573.0,8a3ce970f53de874df6ea68097443422fa78c04edab53c9f7824e2ed50700e9d,2.333333333,660.0,2.0,KVNY/KSDL/KVNY,KVNY,KVNY,,,,Booked
ONCAY,9/30/2021,1/26/2022,1/31/2022,118.0,33e7c8b7d9e644ec9f42bcd922df08817af1c74bbbb49033282dc10b6b56b229,Subcharter | 135,EMAIL,Citation CJ3,Cessna,Light,f3ae082dfb87820dc527759e3aa20f18e6e7dedea42a49a9465cf40d655f083d,44460.0,c43237bab3363d2fdac6698a860029282220ba6b6a9a692bdc8aaff9ce81d944,4.866666667,2937.0,1.0,KVNY/KCPS/KLIT/KVNY,KVNY,KVNY,Existing Retail,,Domestic,Booked
UZOMV,9/30/2021,3/23/2022,3/28/2022,174.0,80cd8c582cc3176cd8c88abcebfcc21738529cef779c79115c9684370d8a18cb,Subcharter | 135,EMAIL,Citation CJ3,Cessna,Light,f3ae082dfb87820dc527759e3aa20f18e6e7dedea42a49a9465cf40d655f083d,44045.0,c43237bab3363d2fdac6698a860029282220ba6b6a9a692bdc8aaff9ce81d944,3.95,2615.0,1.0,KVNY/KBIL/CYQR/KVNY,KVNY,KVNY,Key Account,,International,Booked
OQILJ,6/15/2022,7/21/2022,7/25/2022,36.0,780b1866d0d76e01c0cffc595ea45e4f163ac3d83f0fde789ef8ab5de716abcb,Subcharter | 135,EMAIL,Citation CJ3,Cessna,Light,f3ae082dfb87820dc527759e3aa20f18e6e7dedea42a49a9465cf40d655f083d,54000.0,8a3ce970f53de874df6ea68097443422fa78c04edab53c9f7824e2ed50700e9d,10.05,3364.0,1.0,KVNY/CYQT/KJVL/KVNY,KVNY,KVNY,Key Account,,International,Booked
EQKOI1,8/2/2021,8/3/2021,8/5/2021,1.0,4b0732c9e9301f39a9884cc8b1a930933360a97e738e562420d66cb327687602,Subcharter | 135,EMAIL,Beechjet 400A,Beechcraft,Light,dbddfe3a9959c186d6ebd84583eabf7e01869817e4a14d98e45426c1c2ae6259,20249.0,8009e22925d6e90622a77c154794cf2dfc2f6f5c4b0f9daa461fb5e2347ad1c2,4.25,1636.0,4.0,KVNY/KBFI/KVNY,KVNY,KVNY,,,,Booked
ARNIF,1/23/2023,2/17/2023,2/18/2023,25.0,3045e1885356118346391e7200270108bfb3dd333e977f3dd63e396dd99eb58b,Subcharter | 135,WEB,Citation Sovereign,Cessna,Super Mid-Size,5e7383cf494a099c43750cc2623a576aad2f77183045712201b425b271578821,26457.0,77860aa3545c35b2a1caaa53f0802599dca0498bcccebb930ec388652f4ec41e,1.783333333,702.0,6.0,KTIW/KPRB,KTIW,KPRB,New Retail,,Domestic,Booked
ITOHH,4/12/2021,11/5/2020,11/6/2020,-157.0,82f5e3d5ba341bb271bb046c8046725c690d460903894fb63d3ee5d62852e2e1,Charter | 135,EMAIL,Cessna Citation Ultra,Cessna,Light,c3f00ad9acacc3399b2676e375088b554f94d83b36dc326a5863a29a7b6f5a5a,7300.0,980221ebd7b0cd417ac42dc2456b58eb9629d52be31386f568a4d070eebf3d30,1.783333333,458.0,2.0,KSBA/KOAK/KSBA,KSBA,KSBA,,,,Booked
FUALP1,4/12/2021,4/11/2021,4/11/2021,0.0,82f5e3d5ba341bb271bb046c8046725c690d460903894fb63d3ee5d62852e2e1,Charter | 135,EMAIL,Cessna Citation Ultra,Cessna,Light,f6492cfe5f90094b9ccee4dbb125030c67c8fadf049db37c83b548bcbd722500,7963.0,ba37f3c0fd7ac942221e2783f584b7e5467b62786d11c239a57eaa7c703ef5b2,1.7,342.0,3.0,KSBA/KPSP/KLAX/KSBA,KSBA,KSBA,,,,Booked
OLOZC,11/1/2021,1/3/2022,1/3/2022,63.0,82f5e3d5ba341bb271bb046c8046725c690d460903894fb63d3ee5d62852e2e1,Charter | 135,EMAIL,Cessna Citation Ultra,Cessna,Light,6fa6d6c1c9ed68bdd245e22891121702ec39f8ec0bac46402aeac5d598c5d464,7928.0,8a3ce970f53de874df6ea68097443422fa78c04edab53c9f7824e2ed50700e9d,1.1,324.0,3.0,KSBA/KMRY/KSBA,KSBA,KSBA,Existing Retail,Roundtrip,Domestic,Booked
OLOZC1,11/1/2021,1/9/2022,1/10/2022,69.0,82f5e3d5ba341bb271bb046c8046725c690d460903894fb63d3ee5d62852e2e1,Charter | 135,EMAIL,Cessna Citation Ultra,Cessna,Light,6fa6d6c1c9ed68bdd245e22891121702ec39f8ec0bac46402aeac5d598c5d464,7928.0,8a3ce970f53de874df6ea68097443422fa78c04edab53c9f7824e2ed50700e9d,1.066666667,324.0,3.0,KSBA/KMRY/KSBA,KSBA,KSBA,Existing Retail,Roundtrip,Domestic,Booked
MAFOM1,2/8/2022,2/14/2022,2/14/2022,6.0,82f5e3d5ba341bb271bb046c8046725c690d460903894fb63d3ee5d62852e2e1,Charter | 135,EMAIL,Cessna Citation Ultra,Cessna,Light,6aab7a9cf9ad210fd46dd7f18d1c548198f8fc7c731a26b29979fa29efa44ae1,17545.0,8009e22925d6e90622a77c154794cf2dfc2f6f5c4b0f9daa461fb5e2347ad1c2,4.5,1400.0,2.0,KSBA/KCMA/KEGE/KSBA,KSBA,KSBA,New Retail,Roundtrip,Domestic,Booked
EDOGH,5/10/2021,5/18/2021,5/19/2021,7.0,82f5e3d5ba341bb271bb046c8046725c690d460903894fb63d3ee5d62852e2e1,Charter | 135,EMAIL,Cessna Citation Ultra,Cessna,Light,882ed3e60b65c50ebcfa571fcdb3266b1d66cd64d997c260ed59db943e891a3f,6301.0,980221ebd7b0cd417ac42dc2456b58eb9629d52be31386f568a4d070eebf3d30,1.966666667,532.0,2.0,KSBA/KMCC/KSBA,KSBA,KSBA,,,,Booked
EJUJH,12/23/2021,2/20/2022,2/21/2022,59.0,82f5e3d5ba341bb271bb046c8046725c690d460903894fb63d3ee5d62852e2e1,Charter | 135,EMAIL,Cessna Citation Ultra,Cessna,Light,bcbbd9f3ad92826fb4e9e8219d597beec551fc16d410c8ca02907876c4ac8661,12707.0,8009e22925d6e90622a77c154794cf2dfc2f6f5c4b0f9daa461fb5e2347ad1c2,1.5,338.0,1.0,KSBA/KVNY/KPSP/KVNY/KSBA,KSBA,KSBA,Existing Retail,Roundtrip,Domestic,Booked
PAENP,12/15/2021,1/21/2022,1/22/2022,37.0,82f5e3d5ba341bb271bb046c8046725c690d460903894fb63d3ee5d62852e2e1,Charter | 135,EMAIL,Cessna Citation Ultra,Cessna,Light,5e59368f415ad448a301637a7692fc005ae0d9a2fdc78c530a3180c7fdb48b7e,14212.0,b53d8f4d7c9bf9814f243122f72a558f4b96cea969292403bcb344bf8a8abfdb,0.0,782.0,7.0,,,,Existing Retail,Roundtrip,Domestic,Cancelled
LIYEC,9/14/2021,9/16/2021,9/16/2021,1.0,82f5e3d5ba341bb271bb046c8046725c690d460903894fb63d3ee5d62852e2e1,Charter | 135,EMAIL,Cessna Citation Ultra,Cessna,Light,7f80302f98ad76328aaada9c2cfa93540142654fc610154b07b047c6ed8b1764,17272.0,8009e22925d6e90622a77c154794cf2dfc2f6f5c4b0f9daa461fb5e2347ad1c2,4.766666667,1433.0,2.0,KSBA/KJAC/KVNY/KSBA,KSBA,KSBA,,,,Booked
EXDEF2,9/14/2021,1/26/2022,2/2/2022,134.0,64a818f20c2eef63d58d4172a7b1481a3d509c658f9cfd7d7ca080052d668b54,Charter | 135,EMAIL,Challenger 300,Bombardier,Super Mid-Size,8c8e5b223c3a5b7622c3bdcb710f44760ddadc7dd77744b522f8654d90d7dff8,47842.79,b53d8f4d7c9bf9814f243122f72a558f4b96cea969292403bcb344bf8a8abfdb,0.0,3672.0,2.0,,,,,One way trip,Domestic,Cancelled
TUKOT,1/5/2022,1/6/2022,1/11/2022,1.0,2a16735e90fbaef5af723fdd56f793f7ae7a7e46e54821178d886299dd017de7,Subcharter | 135,EMAIL,Challenger 300,Bombardier,Super Mid-Size,9becae915bfd7b1e9285d6f0435f26368f62c79aa7536c71a4477563d43cec8d,20878.0,8009e22925d6e90622a77c154794cf2dfc2f6f5c4b0f9daa461fb5e2347ad1c2,7.8,3084.0,3.0,KVNY/KBZN,KVNY,KBZN,New Retail,,Domestic,Booked
UDAWF,12/19/2022,12/22/2022,12/23/2022,3.0,75fd8cb1385c2aa3dd4d1964fe5450418803d0d038b275d1f28bcb172610fb42,Charter | 135,EMAIL,Challenger 300,Bombardier,Super Mid-Size,bb9399a3c96d590d20effd8de508f99758e4853d893410c1701ece2bc7681f42,19913.0,67628e5051df4ca69bdf66b9de2c5859b3bc32d441d336b3f2fc8fe4b0870fa8,4.416666667,1795.0,2.0,KBZN/KBIL/KABE/KBED,KBZN,KBED,Owner,One way trip,Domestic,Booked
